id;name;year_established;country;description;url;image;has_trading_incentive;trust_score;trust_score_rank;trade_volume_24h_btc;trade_volume_24h_btc_normalized
binance;Binance;2017.0;Cayman Islands;;https://www.binance.com/;https://assets.coingecko.com/markets/images/52/small/binance.jpg?1519353250;0.0;10;1;455910.70152895915;455910.70152895915
kucoin;KuCoin;2014.0;Seychelles;;https://www.kucoin.com/;https://assets.coingecko.com/markets/images/61/small/kucoin.png?1640584259;0.0;10;2;76758.0098878241;76758.0098878241
ftx_spot;FTX;2019.0;Antigua and Barbuda;;https://ftx.com/;https://assets.coingecko.com/markets/images/451/small/F.png?1609051590;0.0;10;3;67488.5075141936;67488.5075141936
gdax;Coinbase Exchange;2012.0;United States;;https://www.coinbase.com;https://assets.coingecko.com/markets/images/23/small/Coinbase_Coin_Primary.png?1621471875;0.0;10;4;64331.8207400928;64331.8207400928
okex;OKX;2013.0;Belize;;https://www.okx.com;https://assets.coingecko.com/markets/images/96/small/WeChat_Image_20220117220452.png?1642428377;0.0;10;5;60156.51928461011;60156.51928461011
huobi;Huobi Global;2013.0;Seychelles;;https://www.huobi.com;https://assets.coingecko.com/markets/images/25/small/1481589873352_.pic_hd.jpg?1589962155;0.0;10;6;51039.930713945694;51039.930713945694
kraken;Kraken;2011.0;United States;;https://r.kraken.com/c/2223866/687155/10583;https://assets.coingecko.com/markets/images/29/small/kraken.jpg?1584251255;0.0;10;7;24096.436035013914;24096.436035013914
crypto_com;Crypto.com Exchange;2019.0;Cayman Islands;Crypto.com Exchange is the best place to trade crypto, with deep liquidity, low fees and best execution prices, users can trade major cryptocurrencies like Bitcoin, Ethereum, and many more and receive great CRO-powered rewards;https://crypto.com/exchange;https://assets.coingecko.com/markets/images/589/small/Crypto.jpg?1629861084;0.0;10;8;20311.345104005806;20311.345104005806
wootrade;WOO Network;2019.0;;WOO Network is a deep liquidity network connecting traders, exchanges, institutions, and DeFi platforms with democratized access to the best-in-class liquidity and trading execution at lower or zero cost. Its flagship, WOO X, is a professional trading platform featuring customizable modules and lower to zero fees complete with deep liquidity. WOO Network was founded by Kronos Research, a quantitative trading firm generating $5-10B in daily volume.;https://woo.org/;https://assets.coingecko.com/markets/images/683/small/wootrade.jpg?1624621149;0.0;10;9;10947.788184624818;10823.838567606597
bitfinex;Bitfinex;2014.0;British Virgin Islands;;https://www.bitfinex.com;https://assets.coingecko.com/markets/images/4/small/BItfinex.png?1615895883;0.0;10;10;10082.977454120934;10082.977454120934
ftx_us;FTX.US;2020.0;United States;;https://ftx.us/;https://assets.coingecko.com/markets/images/532/small/FTX-US.jpg?1609051756;0.0;10;11;8732.739750869729;8732.739750869729
binance_us;Binance US;2019.0;United States;;https://www.binance.us/en;https://assets.coingecko.com/markets/images/469/small/Binance.png?1568875842;0.0;10;12;7093.661440927017;7093.661440927017
gemini;Gemini;2014.0;United States;;https://gemini.sjv.io/bZ49k;https://assets.coingecko.com/markets/images/50/small/gemini.png?1605704107;0.0;10;13;3574.414582519129;3574.414582519129
bitso;Bitso;2014.0;Mexico;;https://bitso.com;https://assets.coingecko.com/markets/images/8/small/Bitso-icon-dark.png?1581909156;0.0;10;14;633.1355860345449;633.1355860345449
whitebit;WhiteBIT;2018.0;Estonia;;https://whitebit.com;https://assets.coingecko.com/markets/images/418/small/wb_3_avatar-02.png?1611212424;0.0;9;15;75805.58713585262;75805.58713585262
bitmart;BitMart;2017.0;Cayman Islands;;https://www.bitmart.com/en;https://assets.coingecko.com/markets/images/239/small/Bitmart.png?1628066397;0.0;9;16;69988.14036558855;69988.14036558855
lbank;LBank;2017.0;British Virgin Islands;LBank Exchange, founded in 2015, is a global trading platform for various crypto assets. LBank Exchange provides its users with crypto trading, specialized financial derivatives, and professional asset management services. It has become one of the most popular and trusted crypto trading platforms with over 6.4 million users from now more than 210 regions around the world.;https://www.lbank.info/;https://assets.coingecko.com/markets/images/118/small/LBank%E5%9C%86%E6%A0%87.png?1572923264;0.0;9;17;65206.51636649927;65206.51636649927
mxc;MEXC Global;2018.0;;Established in April 2018, MEXC Global is one of the world’s leading digital-asset trading platforms. The core team comes from world-class enterprises and financial companies with rich experience in blockchain and financial industries.;https://www.mexc.com/;https://assets.coingecko.com/markets/images/409/small/WeChat_Image_20210622160936.png?1624349423;0.0;9;18;41325.029560957984;41325.029560957984
gate;Gate.io;;Hong Kong;Gate was established in 2013, and it is the top 10 exchanges in the world in terms of authentic trading volume. It is also the first choice of over 8 million registered customers, covering 130+ countries worldwide, as we are providing the most comprehensive digital asset solutions.;https://gate.io/;https://assets.coingecko.com/markets/images/60/small/gateio.jpg?1519793974;0.0;9;19;23538.939368186366;23538.939368186366
